Product,Category,Brand,Platform,City,Price,Quantity,TotalAmount,Rating,Reviews,year,Month,Day
0,3,0,0,0,10005.53,5,50027.65,1.14,2537,2024,7,3
3,1,5,0,0,4126.25,4,16505.0,3.27,1716,2024,8,9
0,3,0,0,4,19815.58,5,99077.9,3.93,635,2024,2,5
0,3,0,0,2,2256.74,3,6770.22,3.45,1109,2024,5,26
3,1,5,0,4,1482.74,4,5930.96,3.64,3180,2024,7,2
9,2,1,2,0,7877.19,1,7877.19,4.33,74,2024,11,30
9,2,1,2,5,12970.41,3,38911.23,4.71,382,2024,9,10
8,2,9,1,2,12669.24,2,25338.48,1.04,541,2024,3,15
1,0,6,0,5,13550.34,4,54201.36,4.62,1604,2024,5,5
6,4,3,1,4,18610.55,2,37221.1,1.2,23,2024,3,5
7,3,4,1,3,12309.76,3,36929.28,3.85,3862,2024,1,4
2,1,2,2,5,10538.13,2,21076.26,4.28,2757,2024,2,26
1,0,6,0,3,2059.56,1,2059.56,2.26,4608,2024,4,18
0,3,0,0,5,867.36,1,867.36,4.51,1725,2024,7,3
1,0,6,2,2,19518.01,2,39036.02,3.57,4164,2024,5,6
9,2,1,2,3,5639.27,1,5639.27,3.45,2458,2024,12,2
8,2,9,2,4,5338.3,5,26691.5,2.98,3744,2024,8,30
2,1,2,0,3,15596.39,2,31192.78,4.72,5000,2024,1,16
4,3,7,1,1,3963.43,4,15853.72,1.22,4677,2024,3,27
5,2,8,0,3,7881.58,4,31526.32,3.73,1747,2024,10,29
0,3,0,0,1,8551.18,1,8551.18,4.56,4219,2024,5,22
9,2,1,2,0,13558.27,1,13558.27,2.53,931,2024,11,4
4,3,7,2,3,17105.39,3,51316.17,2.68,4192,2024,12,26
6,4,3,0,2,15288.47,2,30576.94,4.57,2309,2024,7,18
8,2,9,2,1,19086.5,5,95432.5,3.75,4431,2024,10,4
1,0,6,2,4,7564.18,4,30256.72,1.79,445,2024,5,10
4,3,7,2,0,7919.88,2,15839.76,3.03,1652,2024,2,11
0,3,0,2,4,17787.92,3,53363.76,4.92,3648,2024,11,22
6,4,3,0,4,4894.12,4,19576.48,1.3,3235,2024,5,4
7,3,4,1,2,9574.88,2,19149.76,4.6,2288,2024,6,7
7,3,4,2,3,11226.5,4,44906.0,3.09,4662,2024,4,17
0,3,0,1,2,1569.06,4,6276.24,4.92,4342,2024,9,21
9,2,1,0,4,5492.13,5,27460.65,4.13,4175,2024,1,15
8,2,9,0,1,1052.63,2,2105.26,4.36,499,2024,12,26
6,4,3,1,1,14714.58,4,58858.32,4.21,9,2024,11,9
5,2,8,2,2,5026.21,1,5026.21,3.36,3909,2024,10,19
2,1,2,2,1,14164.14,4,56656.56,2.01,969,2024,6,27
1,0,6,2,3,1603.38,5,8016.9,3.61,3419,2024,10,2
3,1,5,0,2,2604.4,1,2604.4,3.07,2237,2024,8,19
6,4,3,1,0,8923.17,3,26769.51,1.63,504,2024,7,24
6,4,3,2,2,6220.11,1,6220.11,1.76,1992,2024,4,1
8,2,9,2,5,3129.59,4,12518.36,3.73,741,2024,3,26
5,2,8,0,4,358.74,3,1076.22,1.97,4382,2024,3,26
5,2,8,2,4,18847.29,1,18847.29,2.99,3252,2024,4,18
6,4,3,2,3,6558.5,2,13117.0,1.01,1446,2024,10,23
7,3,4,2,2,17649.86,5,88249.3,3.88,1667,2024,3,26
8,2,9,1,1,9543.53,1,9543.53,1.8,2183,2024,9,16
0,3,0,2,1,12553.72,5,62768.6,4.03,3718,2024,10,28
6,4,3,2,5,2784.77,2,5569.54,4.92,3568,2024,8,15
3,1,5,1,1,19025.43,5,95127.15,1.54,1385,2024,11,22
1,0,6,0,4,18642.22,3,55926.66,4.33,1641,2024,5,3
1,0,6,0,2,15360.28,1,15360.28,2.51,1082,2024,4,29
9,2,1,2,5,8008.52,4,32034.08,2.97,951,2024,4,21
0,3,0,0,0,4120.36,2,8240.72,3.97,3836,2024,9,22
5,2,8,2,1,8125.12,1,8125.12,1.71,2684,2024,8,10
3,1,5,2,4,7572.32,3,22716.96,3.62,3468,2024,10,6
9,2,1,0,1,8188.88,5,40944.4,3.45,1119,2024,5,3
8,2,9,2,1,459.64,3,1378.92,3.74,381,2024,11,30
5,2,8,0,4,269.18,2,538.36,2.46,3168,2024,3,29
3,1,5,1,2,2071.32,4,8285.28,3.9,4771,2024,6,20
5,2,8,2,1,5317.74,2,10635.48,1.87,1596,2024,11,1
0,3,0,0,3,17786.64,2,35573.28,1.94,3216,2024,4,23
0,3,0,0,3,18219.13,5,91095.65,4.81,390,2024,7,25
2,1,2,1,3,12941.86,1,12941.86,2.33,2527,2024,12,4
1,0,6,2,4,8397.24,3,25191.72,4.6,3546,2024,10,7
6,4,3,1,2,11119.45,5,55597.25,2.88,2220,2024,5,19
2,1,2,2,4,912.15,5,4560.75,2.42,3827,2024,7,10
7,3,4,1,4,3352.72,3,10058.16,1.47,698,2024,3,17
3,1,5,2,1,9574.21,4,38296.84,4.99,1678,2024,11,27
4,3,7,2,4,17035.28,2,34070.56,4.64,571,2024,8,7
4,3,7,0,2,2582.44,4,10329.76,3.82,4296,2024,9,8
1,0,6,0,2,16774.22,2,33548.44,4.85,766,2024,4,23
0,3,0,1,1,1178.25,2,2356.5,2.24,4167,2024,10,7
3,1,5,2,5,10953.53,5,54767.65,1.78,3621,2024,7,22
8,2,9,2,0,9516.21,2,19032.42,3.89,229,2024,3,1
8,2,9,2,2,10082.76,4,40331.04,3.53,3577,2024,2,3
2,1,2,2,5,15389.49,4,61557.96,4.71,225,2024,1,23
3,1,5,2,4,15054.63,1,15054.63,2.29,212,2024,10,18
0,3,0,2,0,17344.22,2,34688.44,4.5,4390,2024,4,20
0,3,0,2,0,3563.05,2,7126.1,4.64,2442,2024,1,6
0,3,0,1,3,17832.84,5,89164.2,3.86,596,2024,12,12
3,1,5,0,5,18294.37,3,54883.11,4.54,4734,2024,4,19
3,1,5,1,5,13555.2,1,13555.2,4.33,4809,2024,7,1
5,2,8,1,3,10513.34,3,31540.02,3.89,3265,2024,5,30
1,0,6,1,4,16569.6,4,66278.4,3.71,1008,2024,4,21
9,2,1,1,4,4358.05,5,21790.25,1.38,1933,2024,7,7
8,2,9,1,0,10373.7,4,41494.8,4.74,1044,2024,7,8
1,0,6,2,0,425.23,5,2126.15,3.1,2441,2024,8,20
1,0,6,2,3,8713.46,2,17426.92,1.2,209,2024,3,8
8,2,9,1,0,3092.83,4,12371.32,4.71,3811,2024,5,10
1,0,6,1,2,15434.38,4,61737.52,4.47,4246,2024,7,19
2,1,2,0,4,6983.31,3,20949.93,1.23,1500,2024,4,13
7,3,4,1,4,3964.13,5,19820.65,2.95,758,2024,4,20
1,0,6,2,3,5830.08,3,17490.24,2.25,31,2024,4,17
8,2,9,2,1,15019.37,1,15019.37,4.7,757,2024,8,22
5,2,8,2,4,1128.05,1,1128.05,4.59,213,2024,4,24
3,1,5,2,2,19703.54,4,78814.16,3.27,4255,2024,10,3
0,3,0,1,0,6654.77,4,26619.08,4.62,766,2024,5,7
0,3,0,1,2,4081.63,1,4081.63,4.36,1562,2024,9,3
0,3,0,0,2,13224.65,5,66123.25,3.82,4050,2024,6,20
1,0,6,1,3,4003.94,2,8007.88,4.16,3565,2024,1,11
5,2,8,1,1,13243.22,2,26486.44,3.4,3233,2024,1,16
5,2,8,1,5,5594.32,1,5594.32,2.32,1537,2024,7,31
7,3,4,2,2,816.2,2,1632.4,4.54,3541,2024,8,29
8,2,9,2,2,18802.41,5,94012.05,4.49,1979,2024,12,2
3,1,5,1,3,9759.38,5,48796.9,2.1,1765,2024,8,30
5,2,8,1,3,11172.49,5,55862.45,4.38,4830,2024,6,28
2,1,2,0,0,18763.55,4,75054.2,3.58,808,2024,2,12
6,4,3,1,1,3815.32,3,11445.96,3.34,1954,2024,10,27
5,2,8,0,3,4144.58,1,4144.58,3.97,4557,2024,8,20
2,1,2,2,5,5591.69,2,11183.38,2.58,4293,2024,1,21
9,2,1,2,4,16855.68,1,16855.68,2.59,1749,2024,3,31
1,0,6,0,5,9869.53,5,49347.65,4.27,79,2024,4,15
5,2,8,1,3,13646.15,2,27292.3,4.24,2638,2024,12,3
4,3,7,1,0,8140.53,2,16281.06,2.31,3972,2024,11,14
4,3,7,0,2,4310.63,2,8621.26,1.78,3311,2024,11,30
4,3,7,1,0,11982.84,1,11982.84,2.99,2887,2024,8,12
6,4,3,0,0,9065.42,5,45327.1,3.98,2575,2024,11,21
1,0,6,0,3,18705.82,1,18705.82,1.9,4321,2024,2,5
9,2,1,2,5,2903.55,3,8710.65,1.03,1132,2024,9,18
4,3,7,2,2,19212.24,4,76848.96,3.82,3515,2024,5,30
7,3,4,0,2,14572.72,5,72863.6,1.0,398,2024,6,15
3,1,5,1,4,17068.37,3,51205.11,4.4,4481,2024,5,4
9,2,1,2,1,15494.89,5,77474.45,3.92,216,2024,11,13
7,3,4,0,1,15204.36,1,15204.36,4.68,1259,2024,9,28
7,3,4,1,1,11422.05,3,34266.15,2.29,2750,2024,4,14
7,3,4,0,2,10811.24,4,43244.96,2.26,2671,2024,4,30
0,3,0,2,5,3783.73,3,11351.19,4.21,1064,2024,6,28
4,3,7,0,5,5063.71,3,15191.13,4.32,62,2024,9,6
8,2,9,1,0,3667.22,1,3667.22,1.95,4730,2024,8,4
8,2,9,2,4,4520.58,1,4520.58,1.99,2854,2024,2,1
3,1,5,0,4,10944.66,2,21889.32,3.32,3404,2024,9,7
9,2,1,1,5,7164.15,1,7164.15,3.64,1774,2024,10,16
5,2,8,0,3,7141.58,4,28566.32,3.64,2773,2024,4,14
1,0,6,2,0,7070.15,5,35350.75,3.65,2089,2024,2,15
5,2,8,0,4,2258.04,3,6774.12,4.03,3749,2024,5,2
0,3,0,2,0,1018.0,2,2036.0,2.69,598,2024,1,5
0,3,0,1,0,16575.35,5,82876.75,4.48,372,2024,4,2
1,0,6,2,0,19772.85,1,19772.85,1.16,3234,2024,3,18
2,1,2,2,3,4941.81,1,4941.81,2.88,1214,2024,7,14
7,3,4,2,2,11811.63,3,35434.89,4.88,3698,2024,1,23
6,4,3,0,2,6402.17,1,6402.17,4.98,2247,2024,3,6
6,4,3,1,1,19852.76,5,99263.8,2.21,1341,2024,12,3
7,3,4,1,2,11547.96,4,46191.84,2.24,1394,2024,4,19
8,2,9,0,4,11678.62,5,58393.1,2.79,160,2024,4,19
1,0,6,0,1,12591.67,2,25183.34,1.32,655,2024,5,24
5,2,8,1,5,16574.13,2,33148.26,1.26,3641,2024,9,16
7,3,4,1,0,14808.65,1,14808.65,4.92,1511,2024,12,22
3,1,5,2,3,6882.75,5,34413.75,3.7,4073,2024,5,25
6,4,3,1,3,17609.55,5,88047.75,4.76,1162,2024,2,8
9,2,1,2,0,15832.54,3,47497.62,4.91,3753,2024,3,21
2,1,2,1,2,5920.8,3,17762.4,4.14,3065,2024,1,30
1,0,6,2,4,9725.77,1,9725.77,4.9,2431,2024,8,26
1,0,6,0,1,11305.18,1,11305.18,4.73,3975,2024,4,22
2,1,2,1,3,4760.86,1,4760.86,1.01,2717,2024,2,1
6,4,3,1,3,11259.08,4,45036.32,4.35,925,2024,4,30
6,4,3,0,1,17811.95,1,17811.95,4.7,2682,2024,1,13
4,3,7,0,5,5956.97,1,5956.97,4.18,4905,2024,9,26
4,3,7,2,3,2547.77,5,12738.85,1.38,4752,2024,8,20
9,2,1,2,0,15258.29,1,15258.29,3.74,2427,2024,8,23
5,2,8,1,3,12359.28,3,37077.84,3.74,1841,2024,12,3
8,2,9,2,2,3720.33,3,11160.99,3.96,4609,2024,9,9
8,2,9,0,2,1741.6,5,8708.0,4.73,3626,2024,5,5
9,2,1,2,1,13390.76,2,26781.52,3.15,4892,2024,3,22
3,1,5,2,4,9957.25,3,29871.75,3.33,581,2024,11,27
6,4,3,0,3,3373.56,3,10120.68,1.64,2431,2024,7,22
6,4,3,0,5,15325.33,4,61301.32,4.48,437,2024,7,11
9,2,1,0,0,14632.09,5,73160.45,3.65,3614,2024,11,17
1,0,6,0,4,18331.51,3,54994.53,1.1,3047,2024,8,19
1,0,6,1,2,8611.48,5,43057.4,2.35,1234,2024,10,15
9,2,1,2,2,9120.28,5,45601.4,3.49,3953,2024,7,29
6,4,3,1,3,17738.69,4,70954.76,4.67,2465,2024,4,11
0,3,0,2,2,6336.78,1,6336.78,3.8,364,2024,8,5
9,2,1,1,0,17652.06,3,52956.18,1.06,4460,2024,3,5
5,2,8,1,5,9154.0,4,36616.0,4.79,1745,2024,5,26
8,2,9,2,4,1408.94,2,2817.88,3.65,3784,2024,11,20
5,2,8,0,3,5782.53,1,5782.53,2.85,3476,2024,1,2
0,3,0,1,5,17208.74,2,34417.48,1.29,1399,2024,1,2
1,0,6,1,3,3348.83,2,6697.66,4.78,2796,2024,4,5
2,1,2,1,5,16348.42,4,65393.68,3.96,3973,2024,10,14
1,0,6,0,5,3383.51,4,13534.04,3.5,4453,2024,4,15
9,2,1,1,1,7502.69,2,15005.38,1.06,1212,2024,3,24
3,1,5,0,0,9309.31,5,46546.55,4.97,2390,2024,3,23
3,1,5,2,5,7187.55,5,35937.75,2.09,3397,2024,12,15
1,0,6,1,4,11996.17,3,35988.51,3.75,2725,2024,9,15
5,2,8,0,1,12041.72,2,24083.44,4.45,1597,2024,9,23
2,1,2,2,4,2227.34,2,4454.68,4.75,1649,2024,12,17
5,2,8,1,4,13692.53,1,13692.53,4.45,2301,2024,11,15
2,1,2,1,1,2258.84,2,4517.68,2.24,4867,2024,5,18
7,3,4,0,2,619.04,5,3095.2,1.52,359,2024,9,25
7,3,4,1,1,9249.34,1,9249.34,2.76,3530,2024,11,11
0,3,0,0,4,3051.34,5,15256.7,3.78,2073,2024,6,23
2,1,2,1,3,8458.06,1,8458.06,2.34,137,2024,7,26
2,1,2,2,2,7200.36,1,7200.36,2.56,3382,2024,1,26
9,2,1,1,1,9932.89,2,19865.78,1.97,3953,2024,11,21
9,2,1,0,2,19134.64,1,19134.64,4.48,2275,2024,5,10
1,0,6,0,1,3948.53,3,11845.59,4.47,4176,2024,4,4
6,4,3,1,1,10842.37,5,54211.85,1.28,4287,2024,12,4
6,4,3,0,4,4860.08,4,19440.32,1.19,1105,2024,9,3
7,3,4,0,0,3928.58,3,11785.74,3.17,3350,2024,6,15
1,0,6,1,0,10531.86,5,52659.3,2.03,4340,2024,11,27
8,2,9,2,5,18234.36,2,36468.72,4.86,3768,2024,7,14
3,1,5,1,0,3800.17,4,15200.68,4.23,1325,2024,7,31
6,4,3,0,0,13409.13,3,40227.39,1.86,1168,2024,4,28
5,2,8,2,5,9011.19,5,45055.95,1.99,838,2024,8,12
7,3,4,1,3,18094.91,5,90474.55,2.62,2659,2024,8,19
2,1,2,0,5,19923.16,3,59769.48,1.56,2230,2024,7,7
7,3,4,0,1,17113.45,1,17113.45,1.58,139,2024,8,12
4,3,7,1,4,14313.63,5,71568.15,4.75,3722,2024,1,8
4,3,7,1,2,14809.18,3,44427.54,3.18,4774,2024,3,7
1,0,6,1,2,18290.17,1,18290.17,3.98,1961,2024,2,29
1,0,6,0,0,15588.91,3,46766.73,4.37,4727,2024,12,22
0,3,0,1,3,10506.9,3,31520.7,1.29,115,2024,12,14
1,0,6,2,0,10753.1,2,21506.2,2.63,1840,2024,3,23
2,1,2,2,4,7238.02,4,28952.08,2.56,2061,2024,10,17
8,2,9,0,2,9267.52,3,27802.56,1.89,857,2024,1,2
8,2,9,1,0,17521.48,5,87607.4,2.68,1968,2024,3,20
5,2,8,1,0,17023.76,4,68095.04,3.65,2343,2024,11,2
3,1,5,1,2,12853.49,1,12853.49,1.25,2056,2024,6,19
4,3,7,0,4,17660.77,5,88303.85,4.04,3836,2024,4,20
8,2,9,0,5,9607.45,3,28822.35,1.53,2115,2024,7,5
5,2,8,1,5,8661.86,1,8661.86,3.95,4134,2024,7,1
2,1,2,2,2,113.55,1,113.55,1.88,4056,2024,8,19
9,2,1,1,1,806.86,3,2420.58,1.97,1734,2024,10,22
3,1,5,1,5,3995.12,3,11985.36,4.08,968,2024,4,20
1,0,6,1,2,12784.54,1,12784.54,2.66,2954,2024,1,16
5,2,8,1,0,9514.76,2,19029.52,1.22,2449,2024,1,28
5,2,8,1,0,2334.8,3,7004.4,2.01,3101,2024,11,28
6,4,3,0,5,2094.97,5,10474.85,2.63,4115,2024,1,21
1,0,6,0,1,18524.83,1,18524.83,3.55,3852,2024,8,19
3,1,5,1,5,3214.88,1,3214.88,1.41,2487,2024,10,26
9,2,1,2,1,12262.74,3,36788.22,4.03,1379,2024,9,4
5,2,8,2,1,17175.56,4,68702.24,2.04,3230,2024,9,28
3,1,5,0,1,3819.06,4,15276.24,4.41,565,2024,10,15
8,2,9,1,3,11829.61,2,23659.22,2.85,4174,2024,6,14
8,2,9,0,4,14598.17,1,14598.17,2.94,4204,2024,6,1
9,2,1,0,2,13950.41,5,69752.05,2.98,2554,2024,7,26
9,2,1,2,5,16949.92,5,84749.6,4.61,89,2024,8,27
3,1,5,1,1,12267.61,4,49070.44,3.28,4273,2024,5,31
5,2,8,0,4,11541.02,3,34623.06,3.28,2623,2024,4,19
9,2,1,1,5,1473.5,3,4420.5,3.05,3929,2024,2,15
5,2,8,0,2,3830.2,5,19151.0,4.51,3395,2024,6,8
7,3,4,0,3,10934.94,2,21869.88,1.18,1245,2024,7,26
0,3,0,2,5,3951.31,4,15805.24,2.8,1560,2024,8,10
7,3,4,1,0,13794.76,3,41384.28,3.48,769,2024,6,18
9,2,1,2,3,9791.67,2,19583.34,2.69,2379,2024,1,6
2,1,2,2,5,18013.14,1,18013.14,2.71,2275,2024,11,28
9,2,1,1,3,4411.57,5,22057.85,3.83,1159,2024,11,20
1,0,6,0,1,11879.15,3,35637.45,2.97,1211,2024,6,29
2,1,2,1,5,10134.3,1,10134.3,2.52,1212,2024,5,3
4,3,7,2,4,11319.16,5,56595.8,1.74,4506,2024,4,24
0,3,0,1,5,10554.4,1,10554.4,3.67,3020,2024,6,20
6,4,3,1,0,6270.53,3,18811.59,2.36,4692,2024,12,17
2,1,2,0,4,5446.73,3,16340.19,1.7,2104,2024,12,25
5,2,8,1,2,16012.01,4,64048.04,3.26,3027,2024,12,21
6,4,3,0,2,7448.45,5,37242.25,4.44,4746,2024,5,23
7,3,4,1,4,16909.71,2,33819.42,3.93,34,2024,5,21
3,1,5,2,3,9408.66,3,28225.98,1.91,566,2024,12,13
9,2,1,0,0,3529.62,1,3529.62,3.73,804,2024,9,2
1,0,6,1,1,13429.1,2,26858.2,2.86,3290,2024,9,21
9,2,1,1,2,4688.59,1,4688.59,3.67,3258,2024,7,14
3,1,5,1,4,10150.9,2,20301.8,4.45,1184,2024,10,8
7,3,4,0,5,3778.65,4,15114.6,3.12,445,2024,10,15
3,1,5,1,4,19158.31,1,19158.31,2.43,4628,2024,9,25
3,1,5,0,3,18693.85,1,18693.85,1.3,3828,2024,6,13
8,2,9,2,2,7361.8,4,29447.2,3.0,4779,2024,1,25
2,1,2,1,2,8305.08,1,8305.08,4.8,982,2024,12,5
4,3,7,1,4,11441.73,4,45766.92,3.26,23,2024,9,21
0,3,0,0,0,10229.26,5,51146.3,4.25,2798,2024,1,6
0,3,0,0,3,8400.87,5,42004.35,1.77,4425,2024,12,5
6,4,3,0,4,10137.11,1,10137.11,1.81,2640,2024,6,27
6,4,3,2,5,9632.51,4,38530.04,3.95,4259,2024,1,28
5,2,8,0,0,2032.29,4,8129.16,2.94,2834,2024,11,10
3,1,5,2,1,9412.45,5,47062.25,2.54,2003,2024,4,30
8,2,9,1,4,17969.12,5,89845.6,2.46,2693,2024,8,6
4,3,7,0,5,133.61,4,534.44,4.11,4880,2024,8,28
3,1,5,2,3,19376.72,4,77506.88,3.81,1959,2024,10,8
0,3,0,0,0,7726.28,5,38631.4,4.83,4291,2024,12,11
9,2,1,2,4,6392.7,3,19178.1,1.16,612,2024,8,19
3,1,5,0,2,10870.25,1,10870.25,4.03,2306,2024,5,17
8,2,9,2,4,719.86,3,2159.58,2.7,3585,2024,9,7
4,3,7,1,2,11970.89,5,59854.45,2.04,1682,2024,7,19
5,2,8,1,4,19211.38,1,19211.38,1.84,981,2024,5,24
8,2,9,2,3,17880.4,3,53641.2,3.91,2780,2024,9,15
3,1,5,2,0,1621.88,2,3243.76,4.76,2400,2024,3,4
6,4,3,2,1,3540.22,2,7080.44,2.56,4071,2024,4,22
3,1,5,1,2,1931.82,5,9659.1,1.01,2536,2024,12,12
9,2,1,0,4,14010.82,3,42032.46,3.11,1062,2024,7,9
0,3,0,2,4,17861.4,1,17861.4,3.27,4855,2024,2,11
0,3,0,1,5,8788.27,1,8788.27,4.95,2954,2024,7,24
8,2,9,2,4,12241.4,5,61207.0,2.86,1482,2024,3,13
3,1,5,2,5,4758.87,5,23794.35,4.62,2275,2024,1,18
7,3,4,1,3,12801.38,5,64006.9,1.24,1899,2024,7,31
3,1,5,1,5,6050.3,4,24201.2,4.39,2845,2024,10,31
2,1,2,0,5,5074.08,3,15222.24,4.2,4400,2024,7,22
4,3,7,0,5,288.68,5,1443.4,3.01,3544,2024,11,14
4,3,7,2,2,15002.43,2,30004.86,1.01,2726,2024,12,14
8,2,9,1,0,10887.28,3,32661.84,1.94,2106,2024,3,16
1,0,6,0,4,4235.07,2,8470.14,2.25,1490,2024,3,7
8,2,9,2,3,3578.64,1,3578.64,3.79,4990,2024,10,20
7,3,4,0,3,16066.49,1,16066.49,1.59,3606,2024,11,22
4,3,7,1,4,14637.57,2,29275.14,2.87,1058,2024,3,12
1,0,6,1,5,11857.65,2,23715.3,1.19,3818,2024,11,19
2,1,2,1,3,16708.48,1,16708.48,2.16,283,2024,2,20
4,3,7,2,1,16846.13,1,16846.13,1.82,422,2024,11,4
2,1,2,2,1,16702.13,1,16702.13,4.99,4462,2024,6,15
8,2,9,1,4,15436.65,3,46309.95,4.29,3693,2024,5,18
2,1,2,2,4,2853.64,1,2853.64,3.88,662,2024,7,31
9,2,1,2,1,640.67,4,2562.68,3.92,2689,2024,2,9
1,0,6,1,4,18851.65,2,37703.3,2.81,296,2024,8,18
4,3,7,2,3,3043.11,5,15215.55,4.54,4548,2024,9,10
0,3,0,1,3,8023.96,3,24071.88,4.88,3526,2024,12,6
2,1,2,2,1,6225.82,4,24903.28,2.27,3665,2024,5,12
4,3,7,1,1,6370.33,3,19110.99,1.85,763,2024,1,23
4,3,7,1,5,10164.69,3,30494.07,3.92,3059,2024,6,16
9,2,1,2,2,225.46,5,1127.3,1.98,2748,2024,1,3
1,0,6,2,1,10165.12,3,30495.36,3.0,2255,2024,8,12
1,0,6,0,1,6436.71,1,6436.71,4.65,240,2024,9,17
0,3,0,0,1,15476.55,2,30953.1,1.21,4025,2024,8,9
7,3,4,1,1,10811.37,2,21622.74,4.06,3723,2024,2,25
8,2,9,2,3,11911.3,5,59556.5,4.37,458,2024,2,8
3,1,5,0,0,9015.97,2,18031.94,1.38,1076,2024,9,11
3,1,5,2,5,16066.23,4,64264.92,3.88,215,2024,11,17
4,3,7,1,2,15573.22,4,62292.88,2.62,3644,2024,7,21
7,3,4,1,1,13641.94,3,40925.82,2.14,2610,2024,8,8
3,1,5,2,4,16654.91,4,66619.64,2.22,1359,2024,9,16
1,0,6,0,1,11868.86,4,47475.44,3.25,4088,2024,10,29
4,3,7,2,0,3831.68,1,3831.68,2.43,89,2024,8,20
8,2,9,2,3,9957.56,1,9957.56,1.6,1201,2024,9,6
7,3,4,2,1,3286.82,1,3286.82,4.77,4088,2024,5,16
6,4,3,0,2,15743.97,2,31487.94,3.11,3719,2024,5,30
0,3,0,2,1,2897.69,5,14488.45,3.89,3265,2024,10,22
7,3,4,2,2,3343.36,4,13373.44,2.87,3743,2024,3,27
1,0,6,1,0,10992.72,1,10992.72,3.41,735,2024,5,17
8,2,9,2,5,15133.89,2,30267.78,1.62,2818,2024,8,21
